user_id,liked_games,preferred_genres,budget
121,100280|103271|102900,Indie,52
122,102039|103594|100391|101376|102102,Action|Adventure,52
123,101243|101270|100165,Simulation|Action,31
124,102750|100432|102370|101551,Simulation|Adventure,54
125,102950|102839,Strategy,37
126,100814|103294,Strategy|Indie,42
127,102123|103474|101794|102768|102183,Indie|Action,51
128,101565|103446|100941,Sports|Action,42
129,103768|101643,Adventure|Sports,39
130,100537|101751|103981,Action|Strategy,18
131,102737|101462|102112|101804|103994,Strategy,45
132,101810|101060,Action|Indie,34
133,101833|102259|102729,Action|RPG,38
134,101247|103087|102453|103422,Strategy|Indie,50
135,103536|101288|101664|100429|102807,Strategy,41
136,100825|100644|100442,Indie|Strategy,58
137,100197|102453|102347,Simulation,28
138,101350|102443|101317|101531|100852,Sports|Action,14
139,101768|103711,RPG,46
140,103572|103788|100866|101121,Sports,41
141,100795|101181|100429|100962,Strategy|Adventure,58
142,101976|103973|102262|101857,Adventure|Indie,48
143,100803|102905|100663|100290,Simulation|Action,58
144,101590|103666|102317,Simulation|Indie,49
145,102740|102175|100414|102353,Indie,56
146,100501|103219|101256|103516,Simulation|Sports,28
147,102822|101356,Indie|RPG,44
148,103243|102742|103545|103352|101694,Strategy|Indie,27
149,100875|102459|101144|103803|101285,Strategy,53
150,103060|101382|103251,Action|Adventure,28
151,100233|103444|101188,Adventure|Sports,38
152,103108|102770|100924|103812,Sports|Strategy,14
153,100863|101294|101700|103866,Indie,58
154,102000|100543,Sports,37
155,101674|100001|103105|103922|102453,Simulation|Adventure,46
156,103746|101209|100234|100462|100281,Sports,44
157,103835|103799,Simulation|Action,34
158,101438|102785|102820|103568|101493,Action,14
159,101280|102008,Indie|Adventure,49
160,103833|102133|102331,Adventure|Sports,60
161,100087|100309|103860|100112,Indie|Strategy,44
162,100255|101689|100405,Adventure,47
163,101473|101777,Sports|Adventure,18
164,103840|100709|100582,Sports,43
165,102901|103004|100910|103245,Strategy,43
166,101340|103777,Adventure|Simulation,34
167,101808|102750|100493|101021|101478,Indie|Sports,57
168,103051|103389|102037|103164,Adventure,20
169,100766|101363|101464|103668|102203,RPG|Strategy,57
170,100480|101600|100120|100888,Sports|Adventure,21
171,102737|102805|101102|103856,Action,23
172,100147|100250|100767|102876|103288,Action|Strategy,19
173,102772|102265|103201|103640,Indie|Adventure,19
174,102764|100492|101716|102747,RPG|Strategy,11
175,101934|102973|103210|100259|103195,Adventure|Simulation,55
176,103463|101622|101208|101072|103586,Adventure,41
177,102605|103909,Simulation,15
178,101004|100058|103906|100809,Action,45
179,101047|101073|103611,RPG|Action,35
180,102964|102159|101776,Strategy,50
181,103331|103825|100727|102421|102397,Simulation,58
182,101500|103070|102821|102170,RPG,16
183,100670|101454|101058|100406|101671,Sports,46
184,100531|101482|102378|101715|102207,Adventure|Strategy,51
185,102124|103378|101384|101369|100462,Strategy|Indie,19
186,100228|101756|102875|103158|102286,Simulation,23
187,102886|102361,Action,47
188,102956|101908|102648,RPG|Simulation,22
189,101125|103607|101828,Action|Adventure,53
190,102088|102576,Adventure,23
191,101312|103434|100631|102742|102135,Adventure|Action,17
192,100934|100531|100361|101738|100740,Adventure|RPG,30
193,100367|103304|103955,Sports|Adventure,35
194,103918|102330,Strategy|Indie,14
195,100545|102491|100526|102385|103003,RPG|Action,60
196,101124|103258|103003|103428,Sports|Simulation,53
197,101134|102317|102506,RPG|Adventure,60
198,100737|101464|101978,Strategy,13
199,102623|100741|101337|103560|100585,Indie,47
200,103800|103334,Sports|Adventure,25
